# manifest	= https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/manifest.json
# HNG code	= H08
# HNG source ID	= myz
# osid	sid	page	ln	cn	x	y	w	h	char	hng-gid	flg	remarks	img	mx	my	canvas
23260	23260	f2	5	9	2333	1123	102	79	禮		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23261	23261	f2	5	10	2346	1202	85	69	足		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23262	23262	f2	5	11	2327	1270	107	85	却		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23263	23263	f2	5	12	2334	1360	100	78	住		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23264	23264	f2	5	13	2335	1450	105	55	一		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23265	23265	f2	5	14	2344	1515	83	78	面		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23266	23266	f2	5	15	2333	1588	101	84	瞻		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23267	23267	f2	5	16	2330	1673	106	83	仰		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23268	23268	f2	6	0	2191	397	107	95	尊		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
23269	23269	f2	6	1	2194	491	114	83	顏		0		https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/f2/info.json	3340	2150	https://gallica.bnf.fr/iiif/ark:/12148/btv1b83019074/canvas/f2
